Items,densite,melt,COULEUR,I_CM,I_G,I_F
HMW,0.944,0.07,MIX,EXT,X,RP
HMW,0.942,0.08,MIX,EXT,X,RP
HMW,0.947,0.07,MIX,EXT,X,RP
HDPE,0.958,0.29,MIX,EXT,X,RP
HMW,0.942,0.06,MIX,EXT,X,RP
HDPE,0.956,0.24,MIX,EXT,X,RP
HDPE,0.957,0.24,MIX,EXT,X,RP
HMW,0.944,0.06,MIX,EXT,X,RP
HDPE,0.962,1.0,MIX,EXT,X,RP
HDPE,0.962,0.45,MIX,EXT,X,RP
HDPE,0.975,0.37,MIX,EXT,X,RP
HDPE,0.962,0.72,MIX,EXT,X,RP
HDPE,0.975,7.0,GREY,INJ,X,RP
HDPE,0.975,8.2,GREY,INJ,X,RP
HDPE,0.975,7.0,MIX,INJ,X,RP
HMW,0.942,0.07,MIX,EXT,X,RP
HMW,0.946,0.07,MIX,EXT,X,RP
HMW,0.946,0.08,MIX,EXT,X,RP
HMW,0.938,0.11,MIX,EXT,X,RP
HMW,0.945,0.06,MIX,EXT,X,RP
HDPE,0.973,7.9,GREY,INJ,X,RP
HDPE,0.975,7.9,GREY,INJ,X,RP
HDPE,0.975,4.0,GREY,INJ,X,RP
HDPE,0.954,0.07,MIX,EXT,X,RG
LDPE,0.975,1.6,MIX,X,X,RP
HDPE,0.975,7.2,GREY,INJ,X,RP
HDPE,0.975,7.7,GREY,INJ,X,RP
HDPE,0.975,7.4,GREY,INJ,X,RP
HDPE,0.975,7.6,GREY,INJ,X,RP
HDPE,0.975,7.3,GREY,INJ,X,RP
HDPE,0.975,5.2,GREY,INJ,X,RP
HDPE,0.975,7.1,GREY,INJ,X,RP
HDPE,0.975,7.5,GREY,INJ,X,RP
HDPE,0.975,0.39,MIX,EXT,X,RP
HDPE,0.975,6.8,GREY,INJ,X,RP
HDPE,0.975,6.9,GREY,INJ,X,RP
HDPE,0.958,7.2,BK,INJ,X,RP
HDPE,0.975,7.0,BK,INJ,X,RP
HDPE,0.96,4.9,BK,INJ,X,RP
HDPE,0.952,8.1,BK,INJ,X,RP
LDPE,0.948,5.3,NAT,X,X,WS
LDPE,0.925,4.9,NAT,X,X,WS
MDPE,0.948,2.9,MIX,INJ,X,RG
HDPE,0.965,7.7,MIX,INJ,X,RG
HDPE,0.975,7.3,BK,INJ,X,RP
HDPE,0.952,0.4,MIX,EXT,X,RG
HDPE,0.956,0.48,MIX,EXT,X,RG
HDPE,0.958,5.2,MIX,INJ,X,RG
HDPE,0.925,0.91,MIX,EXT,X,RG
HDPE,0.954,0.41,MIX,EXT,X,RG
LDPE,0.947,0.88,WH,X,X,RG
LDPE,0.947,0.88,WH,EXT,CH,RG
LDPE,0.975,0.94,MIX,X,X,RG
LDPE,0.954,0.87,BK,X,X,RG
HDPE,0.975,0.35,MIX,EXT,X,RG
HDPE,0.958,0.46,BK,EXT,X,RG
HDPE,0.973,0.35,WH,EXT,X,RG
HDPE,0.969,0.4,MIX,EXT,X,RG
HDPE,0.973,0.37,WH,EXT,X,RG
HDPE,0.952,0.24,MIX,EXT,X,RG
LDPE,0.925,2.5,MIX,OFF,E,RG
HDPE,0.949,0.72,MIX,EXT,X,RG
HDPE,0.962,0.96,MIX,EXT,X,RG
HDPE,0.952,1.2,MIX,OFF,X,RG
HDPE,0.958,0.21,MIX,EXT,X,RG
LDPE,0.92,0.72,MIX,X,X,C
LDPE,0.92,0.97,NAT,X,X,C
PE/PP,0.945,4.3,MIX,X,X,RP
HDPE,0.54,0.22,BE,EXT,X,RP
HDPE,0.975,0.84,MIX,EXT,X,RP
MDPE,0.932,4.7,MIX,INJ,X,RG
HDPE,0.949,4.4,MIX,INJ,X,RP
LDPE,0.934,1.4,MIX,X,X,RP
HDPE,0.965,0.58,MIX,EXT,X,RP
HDPE,0.969,0.8,MIX,EXT,X,RP
HDPE,0.958,1.02,MIX,EXT,X,RP
HDPE,0.965,0.96,MIX,EXT,X,RP
HDPE,0.973,0.63,MIX,EXT,X,RP
HDPE,0.965,0.77,MIX,EXT,X,RP
HDPE,0.958,0.55,MIX,EXT,X,RP
MDPE,0.935,4.6,YEL,INJ,X,RG
HDPE,0.965,0.81,MIX,EXT,X,RP
HDPE,0.969,1.0,MIX,EXT,X,RP
HDPE,0.954,6.8,MIX,INJ,X,RG
HDPE,0.92,5.0,MIX,INJ,X,RG
HDPE,0.965,6.8,BK,INJ,X,RP
ADDITIFS,0.975,8.0,BE,INJ,CH,RP
HDPE,0.956,5.4,BK,INJ,X,RP
HDPE,0.947,4.1,BK,INJ,X,RP
HDPE,0.958,5.4,BK,INJ,X,RP
HDPE,0.956,5.4,BK,INJ,2.0,RP
HDPE,0.952,4.7,BK,INJ,X,RP
HDPE,0.965,0.35,MIX,EXT,X,RP
HDPE,0.965,0.27,MIX,EXT,X,RP
HDPE,0.965,0.22,MIX,EXT,X,RP
MDPE,0.955,8.1,MIX,INJ,X,RG
TPO,0.975,0.4,MIX,EXT,CH,RG
HDPE,0.955,0.41,MIX,EXT,X,RG
HDPE,0.975,0.38,MIX,EXT,X,RG
HDPE,0.965,0.87,MIX,EXT,X,RG
HDPE,0.963,0.4,MIX,EXT,X,RG
