Items,melt,traction,COULEUR,I_CM,I_G,I_F,cendre,I1
HIPS,5.0,23.8,BK,INJ,1,RP,5.0,1.6
HIPS,4.6,24.84,BK,EXT,1,RP,0.38,1.56
HIPS,4.53,27.0,BK,EXT,1,RP,2.5,2.0
HIPS,5.0,29.84,BK,EXT,1,RP,4.6,1.5
HIPS,5.6,25.22,BK,INJ,1,RP,8.0,0.9
HIPS,5.0,26.72,BK,INJ,1,RP,5.0,1.2
HIPS,5.13,26.0,BK,INJ,1,RP,6.5,1.0
HIPS,5.75,1039.0,BK,INJ,1,RP,1.8,1.0
HIPS,5.7,24.88,BK,INJ,1,RP,1.8,1.2
HIPS,5.75,25.0,BK,INJ,1,RP,3.1,1.0
HIPS,5.0,24.2,BK,INJ,1,RP,4.5,1.1
HIPS,4.8,24.31,BK,OFF,1,RP,4.0,1.6
HIPS,6.85,24.0,BK,OFF,1,RP,3.2,2.0
HIPS,6.0,853.0,BK,INJ,1,RP,4.8,1.6
HIPS,7.0,835.0,BK,X,1,RP,3.3,1.7
HIPS,6.75,823.0,BK,X,1,RP,3.1,1.0
PP,20.83,844.0,BK,INJ,1,RP,4.1,1.0
PPH,35.0,1174.0,BK,HM,1,RP,3.0,0.5
PPH,38.0,1180.0,BK,HM,1,RP,3.0,0.5
PP,30.0,828.0,BK,INJ,1,RP,1.5,3.0
PP,13.0,808.0,BK,INJ,1,RP,2.0,4.0
PP,17.86,804.0,BK,INJ,1,RP,2.3,3.0
PP,13.0,800.0,BK,INJ,1,RP,1.9,1.9
PP,30.0,611.0,BK,INJ,1,RP,6.0,3.0
PP,27.5,798.0,BK,INJ,1,RP,5.6,1.0
PP,28.0,798.0,BK,INJ,1,RP,8.0,1.3
-,35.0,910.44,BK,INJ,1,RP,3.2,0.6
PP,36.0,970.5,BK,INJ,1,RP,3.0,0.8
PP,29.33,991.0,BK,INJ,1,RP,3.3,1.0
PP,28.0,1010.6,BK,INJ,1,RP,3.5,0.8
PP,22.0,954.0,BK,INJ,1,RP,2.9,1.2
PP,25.58,922.0,BK,INJ,1,RP,5.8,1.0
PP,23.0,854.0,BK,INJ,1,RP,3.3,1.3
PP,27.0,937.0,BK,INJ,1,RP,2.3,1.0
PP,37.0,1077.0,BK,INJ,1,RP,1.0,0.63
PP,34.0,895.64,BK,INJ,1,RP,0.6,1.1
PP,32.77,902.0,BK,INJ,1,RP,0.6,1.0
PP,37.0,893.0,BK,INJ,1,RP,0.5,1.2
PP,32.0,872.72,BK,INJ,1,RP,0.6,1.1
PP,30.0,785.12,BK,INJ,1,RP,0.5,1.2
PP,40.0,977.0,BK,INJ,1,RP,0.7,1.2
PP,30.0,954.45,BK,INJ,1,RP,0.5,1.3
HIPS,5.0,987.0,BK,X,1,RP,3.4,1.0
HIPS,5.4,1009.0,BK,X,1,RP,2.1,0.76
HIPS,5.38,984.0,BK,X,1,RP,2.4,1.0
HIPS,6.8,992.0,BK,X,1,RP,2.5,1.1
HIPS,5.0,970.0,BK,X,1,RP,2.0,0.9
HIPS,8.0,977.0,BK,X,1,RP,2.1,1.1
-,5.38,987.0,BK,X,1,RP,2.4,1.0
PP,24.38,895.0,BK,INJ,1,RP,3.7,1.0
PP,23.0,901.0,BK,INJ,1,RP,3.5,1.4
PP,30.0,900.0,BK,INJ,1,RP,3.4,1.3
PP,28.0,874.0,BK,INJ,1,RP,1.4,1.3
PP,27.11,881.0,BK,INJ,1,RP,2.6,1.0
PP,23.0,872.0,BK,INJ,1,RP,1.3,1.4
PP,26.0,887.0,BK,INJ,1,RP,5.3,1.1
PP,22.0,890.0,BK,INJ,1,RP,8.0,1.1
PP,36.0,1080.0,BK,INJ,1,RP,1.6,1.0
PPH,29.0,1147.0,BK,INJ,1,RP,0.8,0.5
PPH,31.57,1152.0,BK,INJ,1,RP,0.7,1.0
PPH,32.0,1156.0,BK,INJ,1,RP,0.6,0.5
PPH,40.0,1013.0,BK,HM,1,RP,2.2,0.7
PPH,42.17,1084.0,BK,HM,1,RP,2.1,1.0
PPH,39.0,1155.0,BK,HM,1,RP,2.0,1.3
PP,25.0,872.0,BK,INJ,1,RP,1.1,1.4
PP,27.4,877.0,BK,INJ,1,RP,1.2,1.0
PP,25.0,882.0,BK,INJ,1,RP,1.0,1.2
PP,25.0,907.0,BK,INJ,1,RP,2.6,1.0
PP,25.0,907.0,BK,INJ,1,RP,2.6,1.4
PP,30.0,892.0,BK,INJ,1,RP,1.8,1.3
PP,28.86,865.0,BK,INJ,1,RP,1.6,1.0
PP,28.0,837.0,BK,INJ,1,RP,1.6,1.4
PPH,33.0,964.0,BK,INJ,1,RP,3.8,1.0
PPH,30.0,940.0,BK,HM,1,RP,1.1,0.7
PPH,25.0,927.0,BK,HM,1,RP,1.3,0.6
PS,5.08,1275.0,MIX,X,1,RP,0.2,1.0
PS,6.7,1378.0,MIX,X,1,RP,0.1,0.6
PPH,45.0,1087.0,BK,HM,1,RP,2.0,0.6
PPH,45.0,1074.0,BK,HM,1,RP,1.8,1.0
PPH,40.0,1061.0,BK,HM,1,RP,1.7,0.7
PPH,35.0,1085.0,BK,HM,1,RP,2.8,0.5
PPH,38.0,1128.0,BK,HM,1,RP,2.4,0.6
HIPS,6.17,1056.0,BK,X,1,RP,4.2,1.0
-,6.15,1056.0,BK,X,1,RP,4.1,1.0
PP,26.0,909.0,BK,INJ,1,RP,3.1,1.1
PP,28.0,879.0,BK,INJ,1,RP,1.9,1.0
PPH,30.0,1203.0,BK,HM,1,RP,3.1,0.6
-,27.0,909.0,BK,INJ,1,RP,2.5,1.0
PPH,44.0,1153.0,BK,HM,1,RP,2.6,0.5
PPH,45.0,1113.0,BK,HM,1,RP,3.0,1.0
PPH,53.0,1062.0,BK,HM,1,RP,3.2,0.5
PPH,40.0,1125.0,BK,HM,1,RP,3.1,0.6
HIPS,7.1,928.0,BK,EXT,1,RG,4.0,1.9
HIPS,8.3,928.0,BK,EXT,1,RG,3.9,2.0
HIPS,7.0,1053.0,BK,X,1,RP,3.1,1.2
HIPS,6.2,1034.0,BK,X,1,RP,3.2,1.0
HIPS,6.5,1014.0,BK,X,1,RP,3.0,1.5
-,6.2,1034.0,BK,X,1,RP,3.2,1.0
PP,38.0,602.96,BK,INJ,1,RP,2.6,1.0
HIPS,6.6,992.0,BK,INJ,1,RP,3.6,1.3
PP,27.0,721.0,BK,INJ,1,RP,2.1,1.0
PP,27.0,721.0,BK,INJ,1,RP,2.1,1.2
PPH,36.0,1174.0,BK,HM,1,RP,1.6,0.8
PPH,38.0,1141.0,BK,HM,1,RP,1.8,0.8
PPH,38.0,1162.0,BK,HM,1,RP,1.7,1.0
PPH,38.0,1172.0,BK,HM,1,RP,1.8,0.8
PP,23.0,351.0,BK,INJ,1,RP,1.4,1.2
PP,24.62,952.0,BK,INJ,1,RP,2.4,1.0
PP,26.0,975.0,BK,INJ,1,RP,3.0,1.6
PP,23.0,986.82,BK,INJ,1,RP,2.0,1.28
PP,26.0,1004.52,BK,INJ,1,RP,3.0,1.3
PP,27.0,958.36,BK,INJ,1,RP,2.8,1.16
PPH,42.0,1174.0,BK,INJ,1,RP,0.43,0.45
PP,27.0,976.68,BK,INJ,1,RP,1.8,1.3
PP,28.44,969.0,BK,INJ,1,RP,1.8,1.0
PP,26.0,973.9,BK,INJ,1,RP,1.6,1.3
PP,29.0,926.1,BK,INJ,1,RP,1.7,1.42
PP,30.0,998.56,BK,INJ,1,RP,2.0,1.3
PP,27.0,979.44,BK,INJ,1,RP,3.2,1.0
PP,5.4,1098.0,MIX,INJ,E,RG,3.0,1.92
PPH,38.0,1175.0,BK,INJ,1,RP,2.0,1.2
PPH,40.0,1250.0,BK,HM,1,RP,3.1,0.6
PPH,43.0,1142.86,BK,HM,1,RP,2.8,0.49
PPH,44.0,1248.0,BK,HM,1,RP,2.9,0.5
PP,19.0,1116.0,BK,INJ,1,RP,13.0,1.0
PP,20.5,1085.0,BK,INJ,1,RP,11.1,1.0
PP,23.0,1126.0,BK,INJ,1,RP,12.0,1.0
PP,20.0,1108.8,BK,INJ,1,RP,11.0,1.0
PP,22.0,1062.0,BK,INJ,1,RP,12.0,0.76
PP,20.0,1013.0,BK,INJ,1,RP,10.0,0.8
PP,26.0,952.0,BK,INJ,1,RP,3.2,1.1
PP,25.5,976.0,BK,INJ,1,RP,2.4,1.0
PP,28.0,1016.0,BK,INJ,1,RP,3.3,1.0
PP,24.3,1041.0,BK,INJ,1,RP,2.4,1.0
PP,27.0,1117.0,BK,INJ,1,RP,2.8,1.5
PP,20.0,1097.0,BK,INJ,1,RP,3.0,1.0
PP,8.0,1073.0,BK,OFF,1,RP,2.3,1.91
PP,8.49,1013.0,BK,OFF,1,RP,2.3,2.0
PPH,36.0,1238.0,BK,HM,1,RP,3.5,0.45
PP,25.0,943.0,BK,INJ,1,RP,1.6,1.0
-,25.0,927.0,BK,INJ,1,RP,1.6,1.0
PP,25.0,940.0,BK,INJ,1,RP,1.4,1.2
PP,26.46,792.0,BK,INJ,1,RP,1.7,8.0
PP,27.0,792.0,BK,INJ,1,RP,1.1,7.91
PP,22.0,750.42,BK,INJ,1,RP,1.4,10.76
PP,25.0,772.0,BK,INJ,1,RP,2.2,10.49
PP,29.0,869.8,BK,INJ,1,RP,1.8,8.3
PP,27.0,757.84,BK,INJ,1,RP,1.6,8.0
-,27.0,782.0,BK,INJ,1,RP,1.8,9.0
HIPS,5.9,929.0,BK,X,S,RP,5.8,1.0
PP,26.0,997.0,MIX,INJ,E,RG,1.3,1.0
PP,24.0,990.0,BK,INJ,1,RP,1.4,1.15
HIPS,8.0,959.0,BK,X,S,RP,3.5,1.58
HIPS,5.29,968.0,BK,X,S,RP,3.3,2.0
HIPS,4.0,976.0,BK,X,S,RP,3.0,1.46
PP,25.0,775.0,BK,INJ,1,RP,1.2,11.41
PP,15.0,838.0,BK,INJ,1,RP,1.2,9.3
PP,17.0,857.24,BK,INJ,1,RP,1.5,7.3
HIPS,9.9,910.0,BK,X,1,RP,3.3,1.83
HIPS,8.81,913.0,BK,X,1,RP,3.2,2.0
-,28.0,967.0,BK,INJ,1,RP,1.2,1.2
