Items,melt,flex,traction,COULEUR,I_CM,I_G,I_F,cendre,I1,I48
HIPS,5.0,279654.0,23.8,BK,INJ,1,RP,5.0,1.6,1.2
HIPS,4.6,296303.0,24.84,BK,EXT,1,RP,0.38,1.56,1.58
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,5.0,296603.0,29.84,BK,EXT,1,RP,4.6,1.5,1.5
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,4.53,296453.0,27.0,BK,EXT,1,RP,2.5,2.0,1.54
HIPS,5.6,288474.0,25.22,BK,INJ,1,RP,8.0,0.9,0.8
HIPS,5.0,302650.0,26.72,BK,INJ,1,RP,5.0,1.2,0.93
HIPS,5.13,295562.0,26.0,BK,INJ,1,RP,6.5,1.0,0.79
HIPS,5.13,295562.0,26.0,BK,INJ,1,RP,6.5,1.0,0.79
HIPS,5.13,295562.0,26.0,BK,INJ,1,RP,6.5,1.0,0.79
HIPS,5.13,295562.0,26.0,BK,INJ,1,RP,6.5,1.0,0.79
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.75,304396.0,1039.0,BK,INJ,1,RP,1.8,1.0,1.25
HIPS,5.7,296443.0,24.88,BK,INJ,1,RP,1.8,1.2,1.1
HIPS,5.75,296308.0,25.0,BK,INJ,1,RP,3.1,1.0,1.05
HIPS,5.0,296173.0,24.2,BK,INJ,1,RP,4.5,1.1,1.0
