Items,melt,flex,COULEUR,I_CM,I_G,I_F,cendre,I1
HIPS,5.0,279654.0,BK,INJ,1,RP,5.0,1.6
HIPS,4.6,296303.0,BK,EXT,1,RP,0.38,1.56
HIPS,4.53,296453.0,BK,EXT,1,RP,2.5,2.0
HIPS,5.0,296603.0,BK,EXT,1,RP,4.6,1.5
HIPS,5.6,288474.0,BK,INJ,1,RP,8.0,0.9
HIPS,5.0,302650.0,BK,INJ,1,RP,5.0,1.2
HIPS,5.13,295562.0,BK,INJ,1,RP,6.5,1.0
HIPS,5.75,304396.0,BK,INJ,1,RP,1.8,1.0
HIPS,5.7,296443.0,BK,INJ,1,RP,1.8,1.2
HIPS,5.75,296308.0,BK,INJ,1,RP,3.1,1.0
HIPS,5.0,296173.0,BK,INJ,1,RP,4.5,1.1
HIPS,4.8,284618.0,BK,OFF,1,RP,4.0,1.6
HIPS,6.85,284618.0,BK,OFF,1,RP,3.2,2.0
HIPS,6.0,273080.0,BK,INJ,1,RP,4.8,1.6
HIPS,7.0,270169.0,BK,X,1,RP,3.3,1.7
HIPS,6.75,262866.0,BK,X,1,RP,3.1,1.0
PP,20.83,137263.0,BK,INJ,1,RP,4.1,1.0
PPH,35.0,136263.0,BK,HM,1,RP,3.0,0.5
PPH,38.0,138262.0,BK,HM,1,RP,3.0,0.5
PP,30.0,133993.0,BK,INJ,1,RP,1.5,3.0
PP,13.0,144341.0,BK,INJ,1,RP,2.0,4.0
PP,17.86,139080.0,BK,INJ,1,RP,2.3,3.0
PP,13.0,133818.0,BK,INJ,1,RP,1.9,1.9
PP,30.0,102899.0,BK,INJ,1,RP,6.0,3.0
PP,27.5,137820.0,BK,INJ,1,RP,5.6,1.0
PP,28.0,137820.0,BK,INJ,1,RP,8.0,1.3
-,35.0,164600.0,BK,INJ,1,RP,3.2,0.6
PP,36.0,178832.0,BK,INJ,1,RP,3.0,0.8
PP,29.33,179144.0,BK,INJ,1,RP,3.3,1.0
PP,28.0,179456.0,BK,INJ,1,RP,3.5,0.8
PP,22.0,151640.0,BK,INJ,1,RP,2.9,1.2
PP,25.58,165111.0,BK,INJ,1,RP,5.8,1.0
PP,23.0,168705.0,BK,INJ,1,RP,3.3,1.3
PP,27.0,151000.0,BK,INJ,1,RP,2.3,1.0
PP,37.0,142790.0,BK,INJ,1,RP,1.0,0.63
PP,34.0,110877.0,BK,INJ,1,RP,0.6,1.1
PP,32.77,126428.0,BK,INJ,1,RP,0.6,1.0
PP,37.0,108471.0,BK,INJ,1,RP,0.5,1.2
PP,32.0,126083.0,BK,INJ,1,RP,0.6,1.1
PP,30.0,131859.0,BK,INJ,1,RP,0.5,1.2
PP,40.0,132918.0,BK,INJ,1,RP,0.7,1.2
PP,30.0,137743.0,BK,INJ,1,RP,0.5,1.3
HIPS,5.0,296951.0,BK,X,1,RP,3.4,1.0
HIPS,5.4,293880.0,BK,X,1,RP,2.1,0.76
HIPS,5.38,283013.0,BK,X,1,RP,2.4,1.0
HIPS,6.8,276448.0,BK,X,1,RP,2.5,1.1
HIPS,5.0,274521.0,BK,X,1,RP,2.0,0.9
HIPS,8.0,273841.0,BK,X,1,RP,2.1,1.1
-,5.38,287859.0,BK,X,1,RP,2.4,1.0
PP,24.38,149635.0,BK,INJ,1,RP,3.7,1.0
PP,23.0,156664.0,BK,INJ,1,RP,3.5,1.4
PP,30.0,145800.0,BK,INJ,1,RP,3.4,1.3
PP,28.0,119000.0,BK,INJ,1,RP,1.4,1.3
PP,27.11,128694.0,BK,INJ,1,RP,2.6,1.0
PP,23.0,121000.0,BK,INJ,1,RP,1.3,1.4
PP,26.0,133349.0,BK,INJ,1,RP,5.3,1.1
PP,22.0,141425.0,BK,INJ,1,RP,8.0,1.1
PP,36.0,153109.0,BK,INJ,1,RP,1.6,1.0
PPH,29.0,173000.0,BK,INJ,1,RP,0.8,0.5
PPH,31.57,171000.0,BK,INJ,1,RP,0.7,1.0
PPH,32.0,169000.0,BK,INJ,1,RP,0.6,0.5
PPH,40.0,134069.0,BK,HM,1,RP,2.2,0.7
PPH,42.17,145976.0,BK,HM,1,RP,2.1,1.0
PPH,39.0,157883.0,BK,HM,1,RP,2.0,1.3
PP,25.0,118077.0,BK,INJ,1,RP,1.1,1.4
PP,27.4,115939.0,BK,INJ,1,RP,1.2,1.0
PP,25.0,113800.0,BK,INJ,1,RP,1.0,1.2
PP,25.0,133156.0,BK,INJ,1,RP,2.6,1.0
PP,25.0,133156.0,BK,INJ,1,RP,2.6,1.4
PP,30.0,119483.0,BK,INJ,1,RP,1.8,1.3
PP,28.86,118168.0,BK,INJ,1,RP,1.6,1.0
PP,28.0,116853.0,BK,INJ,1,RP,1.6,1.4
PPH,33.0,129000.0,BK,INJ,1,RP,3.8,1.0
PPH,30.0,178280.0,BK,HM,1,RP,1.1,0.7
PPH,25.0,143631.0,BK,HM,1,RP,1.3,0.6
PS,5.08,325383.0,MIX,X,1,RP,0.2,1.0
PS,6.7,354000.0,MIX,X,1,RP,0.1,0.6
PPH,45.0,163000.0,BK,HM,1,RP,2.0,0.6
PPH,45.0,162666.0,BK,HM,1,RP,1.8,1.0
PPH,40.0,162332.0,BK,HM,1,RP,1.7,0.7
PPH,35.0,166479.0,BK,HM,1,RP,2.8,0.5
PPH,38.0,162992.0,BK,HM,1,RP,2.4,0.6
HIPS,6.17,307000.0,BK,X,1,RP,4.2,1.0
-,6.15,307000.0,BK,X,1,RP,4.1,1.0
PP,26.0,135453.0,BK,INJ,1,RP,3.1,1.1
PP,28.0,146000.0,BK,INJ,1,RP,1.9,1.0
PPH,30.0,162977.0,BK,HM,1,RP,3.1,0.6
-,27.0,135453.0,BK,INJ,1,RP,2.5,1.0
PPH,44.0,178000.0,BK,HM,1,RP,2.6,0.5
PPH,45.0,166073.0,BK,HM,1,RP,3.0,1.0
PPH,53.0,153000.0,BK,HM,1,RP,3.2,0.5
PPH,40.0,167218.0,BK,HM,1,RP,3.1,0.6
HIPS,7.1,258997.0,BK,EXT,1,RG,4.0,1.9
HIPS,8.3,258997.0,BK,EXT,1,RG,3.9,2.0
HIPS,7.0,281994.0,BK,X,1,RP,3.1,1.2
HIPS,6.2,276960.0,BK,X,1,RP,3.2,1.0
HIPS,6.5,271926.0,BK,X,1,RP,3.0,1.5
-,6.2,276960.0,BK,X,1,RP,3.2,1.0
PP,38.0,160178.0,BK,INJ,1,RP,2.6,1.0
HIPS,6.6,304011.0,BK,INJ,1,RP,3.6,1.3
PP,27.0,152763.0,BK,INJ,1,RP,2.1,1.0
PP,27.0,152763.0,BK,INJ,1,RP,2.1,1.2
PPH,36.0,163964.0,BK,HM,1,RP,1.6,0.8
PPH,38.0,151377.0,BK,HM,1,RP,1.8,0.8
PPH,38.0,156936.0,BK,HM,1,RP,1.7,1.0
PPH,38.0,155467.0,BK,HM,1,RP,1.8,0.8
PP,23.0,136901.0,BK,INJ,1,RP,1.4,1.2
PP,24.62,137309.0,BK,INJ,1,RP,2.4,1.0
PP,26.0,133698.0,BK,INJ,1,RP,3.0,1.6
PP,23.0,141748.0,BK,INJ,1,RP,2.0,1.28
PP,26.0,137792.0,BK,INJ,1,RP,3.0,1.3
PP,27.0,114478.0,BK,INJ,1,RP,2.8,1.16
PPH,42.0,154285.0,BK,INJ,1,RP,0.43,0.45
